"Name","Child Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2019,&nbsp;<a href=""https://aspe.hhs.gov/2019-poverty-guidelines"" target=""_blank"">the annual income thresholds for a family of four</a>&nbsp;would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,750<br />
100 to 199% FPL = $25,750 to $51,499<br />
Below 200% FPL = Below $51,500<br />
200 to 399% FPL = $51,500 to $102,999<br />
400% FPL and above = $103,000 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey Combined 3-Year Estimates, Public Use Microdata Sample Files (2005-2019). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Flatbush/Midwood,100 to 199% FPL,2015,Percent,0.25845,314
Sheepshead Bay,100 to 199% FPL,2015,Percent,0.2322,315
Brownsville,100 to 199% FPL,2015,Percent,0.24413,316
East Flatbush,100 to 199% FPL,2015,Percent,0.26452,317
Canarsie,100 to 199% FPL,2015,Percent,0.22794,318
Astoria,100 to 199% FPL,2015,Percent,0.23757,401
Sunnyside/Woodside,100 to 199% FPL,2015,Percent,0.26517,402
Jackson Heights,100 to 199% FPL,2015,Percent,0.35235,403
Elmhurst/Corona,100 to 199% FPL,2015,Percent,0.36951,404
Ridgewood/Glendale,100 to 199% FPL,2015,Percent,0.19707,405
Rego Park/Forest Hills,100 to 199% FPL,2015,Percent,0.12221,406
Flushing,100 to 199% FPL,2015,Percent,0.28622,407
Fresh Meadows/Briarwood,100 to 199% FPL,2015,Percent,0.16784,408
Woodhaven,100 to 199% FPL,2015,Percent,0.24898,409
Howard Beach,100 to 199% FPL,2015,Percent,0.22012,410
Bayside,100 to 199% FPL,2015,Percent,0.22126,411
Jamaica/St. Albans,100 to 199% FPL,2015,Percent,0.26972,412
Queens Village,100 to 199% FPL,2015,Percent,0.18617,413
The Rockaways,100 to 199% FPL,2015,Percent,0.26299,414
St. George,100 to 199% FPL,2015,Percent,0.18183,501
South Beach,100 to 199% FPL,2015,Percent,0.1705,502
Tottenville,100 to 199% FPL,2015,Percent,0.11405,503
Battery Park/Tribeca,100 to 199% FPL,2015,Percent,0.05224,101
Greenwich Village,100 to 199% FPL,2015,Percent,0.05224,102
Chelsea/Clinton,100 to 199% FPL,2015,Percent,0.10022,104
Midtown Business District,100 to 199% FPL,2015,Percent,0.10022,105
Mott Haven,100 to 199% FPL,2015,Percent,0.3373,201
Hunts Point,100 to 199% FPL,2015,Percent,0.3373,202
Morrisania,100 to 199% FPL,2015,Percent,0.2619,203
East Tremont,100 to 199% FPL,2015,Percent,0.2619,206
Lower East Side,100 to 199% FPL,2014,Percent,0.26901,103
Murray Hill/Stuyvesant,100 to 199% FPL,2014,Percent,0.09206,106
Upper West Side,100 to 199% FPL,2014,Percent,0.03664,107
Upper East Side,100 to 199% FPL,2014,Percent,0.03318,108
Manhattanville,100 to 199% FPL,2014,Percent,0.20455,109
Central Harlem,100 to 199% FPL,2014,Percent,0.2509,110
East Harlem,100 to 199% FPL,2014,Percent,0.29863,111
Washington Heights,100 to 199% FPL,2014,Percent,0.32073,112
Concourse/Highbridge,100 to 199% FPL,2014,Percent,0.31018,204
University Heights,100 to 199% FPL,2014,Percent,0.22975,205
Bedford Park,100 to 199% FPL,2014,Percent,0.32264,207
Riverdale,100 to 199% FPL,2014,Percent,0.18963,208
Unionport/Soundview,100 to 199% FPL,2014,Percent,0.27492,209
Throgs Neck,100 to 199% FPL,2014,Percent,0.23165,210
Pelham Parkway,100 to 199% FPL,2014,Percent,0.25085,211
Williamsbridge,100 to 199% FPL,2014,Percent,0.25344,212
Williamsburg/Greenpoint,100 to 199% FPL,2014,Percent,0.20105,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2014,Percent,0.11327,302
Bedford Stuyvesant,100 to 199% FPL,2014,Percent,0.21666,303
Bushwick,100 to 199% FPL,2014,Percent,0.28876,304
East New York,100 to 199% FPL,2014,Percent,0.30946,305
Park Slope,100 to 199% FPL,2014,Percent,0.06425,306
Sunset Park,100 to 199% FPL,2014,Percent,0.24062,307
Crown Heights North,100 to 199% FPL,2014,Percent,0.24739,308
Crown Heights South,100 to 199% FPL,2014,Percent,0.29378,309
Bay Ridge,100 to 199% FPL,2014,Percent,0.23994,310
Bensonhurst,100 to 199% FPL,2014,Percent,0.25402,311
Borough Park,100 to 199% FPL,2014,Percent,0.26681,312
Coney Island,100 to 199% FPL,2014,Percent,0.20665,313
Flatbush/Midwood,100 to 199% FPL,2014,Percent,0.27741,314
Sheepshead Bay,100 to 199% FPL,2014,Percent,0.23711,315
Brownsville,100 to 199% FPL,2014,Percent,0.2437,316
East Flatbush,100 to 199% FPL,2014,Percent,0.2772,317
Canarsie,100 to 199% FPL,2014,Percent,0.2376,318
Astoria,100 to 199% FPL,2014,Percent,0.23142,401
Sunnyside/Woodside,100 to 199% FPL,2014,Percent,0.26865,402
Jackson Heights,100 to 199% FPL,2014,Percent,0.30045,403
Elmhurst/Corona,100 to 199% FPL,2014,Percent,0.34423,404
Ridgewood/Glendale,100 to 199% FPL,2014,Percent,0.20073,405
Rego Park/Forest Hills,100 to 199% FPL,2014,Percent,0.08651,406
Flushing,100 to 199% FPL,2014,Percent,0.25969,407
Fresh Meadows/Briarwood,100 to 199% FPL,2014,Percent,0.11071,408
Woodhaven,100 to 199% FPL,2014,Percent,0.24919,409
Howard Beach,100 to 199% FPL,2014,Percent,0.24483,410
Bayside,100 to 199% FPL,2014,Percent,0.19754,411
Jamaica/St. Albans,100 to 199% FPL,2014,Percent,0.26867,412
Queens Village,100 to 199% FPL,2014,Percent,0.15705,413
The Rockaways,100 to 199% FPL,2014,Percent,0.25271,414
St. George,100 to 199% FPL,2014,Percent,0.17908,501
South Beach,100 to 199% FPL,2014,Percent,0.17322,502
Tottenville,100 to 199% FPL,2014,Percent,0.12403,503
Battery Park/Tribeca,100 to 199% FPL,2014,Percent,0.03908,101
Greenwich Village,100 to 199% FPL,2014,Percent,0.03908,102
Chelsea/Clinton,100 to 199% FPL,2014,Percent,0.10849,104
Midtown Business District,100 to 199% FPL,2014,Percent,0.10849,105
Mott Haven,100 to 199% FPL,2014,Percent,0.30325,201
Hunts Point,100 to 199% FPL,2014,Percent,0.30325,202
Morrisania,100 to 199% FPL,2014,Percent,0.29228,203
East Tremont,100 to 199% FPL,2014,Percent,0.29228,206
Lower East Side,100 to 199% FPL,2013,Percent,0.25306,103
Murray Hill/Stuyvesant,100 to 199% FPL,2013,Percent,0.15407,106
Upper West Side,100 to 199% FPL,2013,Percent,0.04195,107
Upper East Side,100 to 199% FPL,2013,Percent,0.00905,108
Manhattanville,100 to 199% FPL,2013,Percent,0.23915,109
Central Harlem,100 to 199% FPL,2013,Percent,0.27352,110
East Harlem,100 to 199% FPL,2013,Percent,0.30306,111
Washington Heights,100 to 199% FPL,2013,Percent,0.315,112
Concourse/Highbridge,100 to 199% FPL,2013,Percent,0.32168,204
University Heights,100 to 199% FPL,2013,Percent,0.25133,205
Bedford Park,100 to 199% FPL,2013,Percent,0.30689,207
Riverdale,100 to 199% FPL,2013,Percent,0.20571,208
Unionport/Soundview,100 to 199% FPL,2013,Percent,0.27784,209
Throgs Neck,100 to 199% FPL,2013,Percent,0.19496,210
Pelham Parkway,100 to 199% FPL,2013,Percent,0.24173,211
Williamsbridge,100 to 199% FPL,2013,Percent,0.25499,212
Williamsburg/Greenpoint,100 to 199% FPL,2013,Percent,0.21229,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2013,Percent,0.12957,302
Bedford Stuyvesant,100 to 199% FPL,2013,Percent,0.20864,303
Bushwick,100 to 199% FPL,2013,Percent,0.27134,304
East New York,100 to 199% FPL,2013,Percent,0.28243,305
Park Slope,100 to 199% FPL,2013,Percent,0.06206,306
Sunset Park,100 to 199% FPL,2013,Percent,0.25683,307
Crown Heights North,100 to 199% FPL,2013,Percent,0.21917,308
Crown Heights South,100 to 199% FPL,2013,Percent,0.29934,309
Bay Ridge,100 to 199% FPL,2013,Percent,0.26253,310
Bensonhurst,100 to 199% FPL,2013,Percent,0.24977,311
Borough Park,100 to 199% FPL,2013,Percent,0.29831,312
Coney Island,100 to 199% FPL,2013,Percent,0.2488,313
Flatbush/Midwood,100 to 199% FPL,2013,Percent,0.29078,314
Sheepshead Bay,100 to 199% FPL,2013,Percent,0.262,315
Brownsville,100 to 199% FPL,2013,Percent,0.22687,316
East Flatbush,100 to 199% FPL,2013,Percent,0.2563,317
Canarsie,100 to 199% FPL,2013,Percent,0.20736,318
Astoria,100 to 199% FPL,2013,Percent,0.27985,401
Sunnyside/Woodside,100 to 199% FPL,2013,Percent,0.25754,402
Jackson Heights,100 to 199% FPL,2013,Percent,0.29868,403
Elmhurst/Corona,100 to 199% FPL,2013,Percent,0.32057,404
Ridgewood/Glendale,100 to 199% FPL,2013,Percent,0.20824,405
Rego Park/Forest Hills,100 to 199% FPL,2013,Percent,0.14657,406
Flushing,100 to 199% FPL,2013,Percent,0.27217,407
Fresh Meadows/Briarwood,100 to 199% FPL,2013,Percent,0.13673,408
Woodhaven,100 to 199% FPL,2013,Percent,0.21435,409
Howard Beach,100 to 199% FPL,2013,Percent,0.26329,410
Bayside,100 to 199% FPL,2013,Percent,0.18614,411
Jamaica/St. Albans,100 to 199% FPL,2013,Percent,0.25783,412
Queens Village,100 to 199% FPL,2013,Percent,0.15012,413
The Rockaways,100 to 199% FPL,2013,Percent,0.22261,414
St. George,100 to 199% FPL,2013,Percent,0.21507,501
South Beach,100 to 199% FPL,2013,Percent,0.19082,502
Tottenville,100 to 199% FPL,2013,Percent,0.11524,503
Battery Park/Tribeca,100 to 199% FPL,2013,Percent,0.01978,101
Greenwich Village,100 to 199% FPL,2013,Percent,0.01978,102
Chelsea/Clinton,100 to 199% FPL,2013,Percent,0.10899,104
Midtown Business District,100 to 199% FPL,2013,Percent,0.10899,105
Mott Haven,100 to 199% FPL,2013,Percent,0.28465,201
Hunts Point,100 to 199% FPL,2013,Percent,0.28465,202
Morrisania,100 to 199% FPL,2013,Percent,0.27483,203
East Tremont,100 to 199% FPL,2013,Percent,0.27483,206
Lower East Side,100 to 199% FPL,2012,Percent,0.26073,103
Murray Hill/Stuyvesant,100 to 199% FPL,2012,Percent,0.13913,106
Upper West Side,100 to 199% FPL,2012,Percent,0.08626,107
Upper East Side,100 to 199% FPL,2012,Percent,0.02557,108
Manhattanville,100 to 199% FPL,2012,Percent,0.24398,109
Central Harlem,100 to 199% FPL,2012,Percent,0.28288,110
East Harlem,100 to 199% FPL,2012,Percent,0.28648,111
Washington Heights,100 to 199% FPL,2012,Percent,0.34711,112
Concourse/Highbridge,100 to 199% FPL,2012,Percent,0.3109,204
University Heights,100 to 199% FPL,2012,Percent,0.25658,205
Bedford Park,100 to 199% FPL,2012,Percent,0.31615,207
Riverdale,100 to 199% FPL,2012,Percent,0.24476,208
Unionport/Soundview,100 to 199% FPL,2012,Percent,0.26827,209
Throgs Neck,100 to 199% FPL,2012,Percent,0.16871,210
Pelham Parkway,100 to 199% FPL,2012,Percent,0.23996,211
Williamsbridge,100 to 199% FPL,2012,Percent,0.27423,212
Williamsburg/Greenpoint,100 to 199% FPL,2012,Percent,0.23015,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2012,Percent,0.12159,302
Bedford Stuyvesant,100 to 199% FPL,2012,Percent,0.21713,303
Bushwick,100 to 199% FPL,2012,Percent,0.25162,304
East New York,100 to 199% FPL,2012,Percent,0.26784,305
Park Slope,100 to 199% FPL,2012,Percent,0.08427,306
Sunset Park,100 to 199% FPL,2012,Percent,0.31314,307
Crown Heights North,100 to 199% FPL,2012,Percent,0.20273,308
Crown Heights South,100 to 199% FPL,2012,Percent,0.30814,309
Bay Ridge,100 to 199% FPL,2012,Percent,0.28854,310
Bensonhurst,100 to 199% FPL,2012,Percent,0.26401,311
Borough Park,100 to 199% FPL,2012,Percent,0.27187,312
Coney Island,100 to 199% FPL,2012,Percent,0.27321,313
Flatbush/Midwood,100 to 199% FPL,2012,Percent,0.27789,314
Sheepshead Bay,100 to 199% FPL,2012,Percent,0.23685,315
Brownsville,100 to 199% FPL,2012,Percent,0.21768,316
East Flatbush,100 to 199% FPL,2012,Percent,0.24095,317
Canarsie,100 to 199% FPL,2012,Percent,0.22054,318
Astoria,100 to 199% FPL,2012,Percent,0.27567,401
Sunnyside/Woodside,100 to 199% FPL,2012,Percent,0.27277,402
Jackson Heights,100 to 199% FPL,2012,Percent,0.29831,403
Elmhurst/Corona,100 to 199% FPL,2012,Percent,0.34167,404
Ridgewood/Glendale,100 to 199% FPL,2012,Percent,0.20765,405
Rego Park/Forest Hills,100 to 199% FPL,2012,Percent,0.15524,406
Flushing,100 to 199% FPL,2012,Percent,0.27286,407
Fresh Meadows/Briarwood,100 to 199% FPL,2012,Percent,0.16853,408
Woodhaven,100 to 199% FPL,2012,Percent,0.24115,409
Howard Beach,100 to 199% FPL,2012,Percent,0.25083,410
Bayside,100 to 199% FPL,2012,Percent,0.13526,411
Jamaica/St. Albans,100 to 199% FPL,2012,Percent,0.25835,412
Queens Village,100 to 199% FPL,2012,Percent,0.13633,413
The Rockaways,100 to 199% FPL,2012,Percent,0.20551,414
St. George,100 to 199% FPL,2012,Percent,0.18857,501
South Beach,100 to 199% FPL,2012,Percent,0.1885,502
Tottenville,100 to 199% FPL,2012,Percent,0.10375,503
Battery Park/Tribeca,100 to 199% FPL,2012,Percent,0.03,101
Greenwich Village,100 to 199% FPL,2012,Percent,0.03,102
Chelsea/Clinton,100 to 199% FPL,2012,Percent,0.15003,104
Midtown Business District,100 to 199% FPL,2012,Percent,0.15003,105
Mott Haven,100 to 199% FPL,2012,Percent,0.28238,201
Hunts Point,100 to 199% FPL,2012,Percent,0.28238,202
Morrisania,100 to 199% FPL,2012,Percent,0.24398,203
East Tremont,100 to 199% FPL,2012,Percent,0.24398,206
Lower East Side,100 to 199% FPL,2011,Percent,0.27288,103
Murray Hill/Stuyvesant,100 to 199% FPL,2011,Percent,0.12465,106
Upper West Side,100 to 199% FPL,2011,Percent,0.08053,107
Upper East Side,100 to 199% FPL,2011,Percent,0.03,108
Manhattanville,100 to 199% FPL,2011,Percent,0.28418,109
Central Harlem,100 to 199% FPL,2011,Percent,0.29858,110
East Harlem,100 to 199% FPL,2011,Percent,0.25419,111
Washington Heights,100 to 199% FPL,2011,Percent,0.30854,112
Concourse/Highbridge,100 to 199% FPL,2011,Percent,0.33233,204
University Heights,100 to 199% FPL,2011,Percent,0.27844,205
Bedford Park,100 to 199% FPL,2011,Percent,0.3052,207
Riverdale,100 to 199% FPL,2011,Percent,0.23296,208
Unionport/Soundview,100 to 199% FPL,2011,Percent,0.25933,209
Throgs Neck,100 to 199% FPL,2011,Percent,0.15525,210
Pelham Parkway,100 to 199% FPL,2011,Percent,0.23234,211
Williamsbridge,100 to 199% FPL,2011,Percent,0.25895,212
Williamsburg/Greenpoint,100 to 199% FPL,2011,Percent,0.25146,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2011,Percent,0.14003,302
Bedford Stuyvesant,100 to 199% FPL,2011,Percent,0.19929,303
Bushwick,100 to 199% FPL,2011,Percent,0.2606,304
East New York,100 to 199% FPL,2011,Percent,0.2268,305
Park Slope,100 to 199% FPL,2011,Percent,0.0845,306
Sunset Park,100 to 199% FPL,2011,Percent,0.30936,307
Crown Heights North,100 to 199% FPL,2011,Percent,0.1909,308
Crown Heights South,100 to 199% FPL,2011,Percent,0.29302,309
Bay Ridge,100 to 199% FPL,2011,Percent,0.25881,310
Bensonhurst,100 to 199% FPL,2011,Percent,0.33996,311
Borough Park,100 to 199% FPL,2011,Percent,0.27937,312
Coney Island,100 to 199% FPL,2011,Percent,0.29875,313
Flatbush/Midwood,100 to 199% FPL,2011,Percent,0.25275,314
Sheepshead Bay,100 to 199% FPL,2011,Percent,0.27876,315
Brownsville,100 to 199% FPL,2011,Percent,0.19991,316
East Flatbush,100 to 199% FPL,2011,Percent,0.23846,317
Canarsie,100 to 199% FPL,2011,Percent,0.18189,318
Astoria,100 to 199% FPL,2011,Percent,0.32398,401
Sunnyside/Woodside,100 to 199% FPL,2011,Percent,0.25408,402
Jackson Heights,100 to 199% FPL,2011,Percent,0.33495,403
Elmhurst/Corona,100 to 199% FPL,2011,Percent,0.3658,404
Ridgewood/Glendale,100 to 199% FPL,2011,Percent,0.20521,405
Rego Park/Forest Hills,100 to 199% FPL,2011,Percent,0.16593,406
Flushing,100 to 199% FPL,2011,Percent,0.25364,407
Fresh Meadows/Briarwood,100 to 199% FPL,2011,Percent,0.19687,408
Woodhaven,100 to 199% FPL,2011,Percent,0.24662,409
Howard Beach,100 to 199% FPL,2011,Percent,0.2637,410
Bayside,100 to 199% FPL,2011,Percent,0.13069,411
Jamaica/St. Albans,100 to 199% FPL,2011,Percent,0.221,412
Queens Village,100 to 199% FPL,2011,Percent,0.13944,413
The Rockaways,100 to 199% FPL,2011,Percent,0.19991,414
St. George,100 to 199% FPL,2011,Percent,0.18474,501
South Beach,100 to 199% FPL,2011,Percent,0.16862,502
Tottenville,100 to 199% FPL,2011,Percent,0.11949,503
Battery Park/Tribeca,100 to 199% FPL,2011,Percent,0.04025,101
Greenwich Village,100 to 199% FPL,2011,Percent,0.04025,102
Chelsea/Clinton,100 to 199% FPL,2011,Percent,0.13524,104
Midtown Business District,100 to 199% FPL,2011,Percent,0.13524,105
Mott Haven,100 to 199% FPL,2011,Percent,0.27974,201
Hunts Point,100 to 199% FPL,2011,Percent,0.27974,202
Morrisania,100 to 199% FPL,2011,Percent,0.22858,203
East Tremont,100 to 199% FPL,2011,Percent,0.22858,206
Lower East Side,100 to 199% FPL,2010,Percent,0.27319,103
Murray Hill/Stuyvesant,100 to 199% FPL,2010,Percent,0.07153,106
Upper West Side,100 to 199% FPL,2010,Percent,0.07055,107
Upper East Side,100 to 199% FPL,2010,Percent,0.03058,108
Manhattanville,100 to 199% FPL,2010,Percent,0.28284,109
Central Harlem,100 to 199% FPL,2010,Percent,0.2271,110
East Harlem,100 to 199% FPL,2010,Percent,0.31274,111
Washington Heights,100 to 199% FPL,2010,Percent,0.29706,112
Concourse/Highbridge,100 to 199% FPL,2010,Percent,0.31391,204
University Heights,100 to 199% FPL,2010,Percent,0.28024,205
Bedford Park,100 to 199% FPL,2010,Percent,0.2959,207
Riverdale,100 to 199% FPL,2010,Percent,0.21117,208
Unionport/Soundview,100 to 199% FPL,2010,Percent,0.26374,209
Throgs Neck,100 to 199% FPL,2010,Percent,0.15614,210
Pelham Parkway,100 to 199% FPL,2010,Percent,0.23701,211
Williamsbridge,100 to 199% FPL,2010,Percent,0.24744,212
Williamsburg/Greenpoint,100 to 199% FPL,2010,Percent,0.22533,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2010,Percent,0.10422,302
Bedford Stuyvesant,100 to 199% FPL,2010,Percent,0.2283,303
Bushwick,100 to 199% FPL,2010,Percent,0.28348,304
East New York,100 to 199% FPL,2010,Percent,0.2088,305
Park Slope,100 to 199% FPL,2010,Percent,0.10331,306
Sunset Park,100 to 199% FPL,2010,Percent,0.27353,307
Crown Heights North,100 to 199% FPL,2010,Percent,0.20137,308
Crown Heights South,100 to 199% FPL,2010,Percent,0.27051,309
Bay Ridge,100 to 199% FPL,2010,Percent,0.27195,310
Bensonhurst,100 to 199% FPL,2010,Percent,0.34094,311
Borough Park,100 to 199% FPL,2010,Percent,0.25869,312
Coney Island,100 to 199% FPL,2010,Percent,0.31826,313
Flatbush/Midwood,100 to 199% FPL,2010,Percent,0.23881,314
Sheepshead Bay,100 to 199% FPL,2010,Percent,0.26428,315
Brownsville,100 to 199% FPL,2010,Percent,0.21925,316
East Flatbush,100 to 199% FPL,2010,Percent,0.2523,317
Canarsie,100 to 199% FPL,2010,Percent,0.18812,318
Astoria,100 to 199% FPL,2010,Percent,0.25016,401
Sunnyside/Woodside,100 to 199% FPL,2010,Percent,0.30729,402
Jackson Heights,100 to 199% FPL,2010,Percent,0.32823,403
Elmhurst/Corona,100 to 199% FPL,2010,Percent,0.34863,404
Ridgewood/Glendale,100 to 199% FPL,2010,Percent,0.20352,405
Rego Park/Forest Hills,100 to 199% FPL,2010,Percent,0.15728,406
Flushing,100 to 199% FPL,2010,Percent,0.21646,407
Fresh Meadows/Briarwood,100 to 199% FPL,2010,Percent,0.18891,408
Woodhaven,100 to 199% FPL,2010,Percent,0.26604,409
Howard Beach,100 to 199% FPL,2010,Percent,0.24327,410
Bayside,100 to 199% FPL,2010,Percent,0.12077,411
Jamaica/St. Albans,100 to 199% FPL,2010,Percent,0.22871,412
Queens Village,100 to 199% FPL,2010,Percent,0.12887,413
The Rockaways,100 to 199% FPL,2010,Percent,0.23848,414
St. George,100 to 199% FPL,2010,Percent,0.17778,501
South Beach,100 to 199% FPL,2010,Percent,0.16646,502
Tottenville,100 to 199% FPL,2010,Percent,0.11044,503
Battery Park/Tribeca,100 to 199% FPL,2010,Percent,0.06835,101
Greenwich Village,100 to 199% FPL,2010,Percent,0.06835,102
Chelsea/Clinton,100 to 199% FPL,2010,Percent,0.15072,104
Midtown Business District,100 to 199% FPL,2010,Percent,0.15072,105
Mott Haven,100 to 199% FPL,2010,Percent,0.26771,201
Hunts Point,100 to 199% FPL,2010,Percent,0.26771,202
Morrisania,100 to 199% FPL,2010,Percent,0.25009,203
East Tremont,100 to 199% FPL,2010,Percent,0.25009,206
Lower East Side,Below 200% FPL,2018,Percent,0.66991,103
Murray Hill/Stuyvesant,Below 200% FPL,2018,Percent,0.13036,106
Upper West Side,Below 200% FPL,2018,Percent,0.16698,107
Upper East Side,Below 200% FPL,2018,Percent,0.08157,108
Manhattanville,Below 200% FPL,2018,Percent,0.55124,109
Central Harlem,Below 200% FPL,2018,Percent,0.6128,110
East Harlem,Below 200% FPL,2018,Percent,0.71449,111
Washington Heights,Below 200% FPL,2018,Percent,0.56134,112
Concourse/Highbridge,Below 200% FPL,2018,Percent,0.73779,204
University Heights,Below 200% FPL,2018,Percent,0.76151,205
Bedford Park,Below 200% FPL,2018,Percent,0.70896,207
Riverdale,Below 200% FPL,2018,Percent,0.52903,208
Unionport/Soundview,Below 200% FPL,2018,Percent,0.61527,209
Throgs Neck,Below 200% FPL,2018,Percent,0.32556,210
Pelham Parkway,Below 200% FPL,2018,Percent,0.50767,211
Williamsbridge,Below 200% FPL,2018,Percent,0.51902,212
Williamsburg/Greenpoint,Below 200% FPL,2018,Percent,0.62038,301
Fort Greene/Brooklyn Hts,Below 200% FPL,2018,Percent,0.32741,302
Bedford Stuyvesant,Below 200% FPL,2018,Percent,0.64076,303
Bushwick,Below 200% FPL,2018,Percent,0.62826,304
East New York,Below 200% FPL,2018,Percent,0.55454,305
Park Slope,Below 200% FPL,2018,Percent,0.19125,306
Sunset Park,Below 200% FPL,2018,Percent,0.62445,307
Crown Heights North,Below 200% FPL,2018,Percent,0.51015,308
Crown Heights South,Below 200% FPL,2018,Percent,0.49059,309
Bay Ridge,Below 200% FPL,2018,Percent,0.3939,310
Bensonhurst,Below 200% FPL,2018,Percent,0.48913,311
Borough Park,Below 200% FPL,2018,Percent,0.68289,312
Coney Island,Below 200% FPL,2018,Percent,0.56415,313
Flatbush/Midwood,Below 200% FPL,2018,Percent,0.49701,314
Sheepshead Bay,Below 200% FPL,2018,Percent,0.40315,315
Brownsville,Below 200% FPL,2018,Percent,0.59938,316
East Flatbush,Below 200% FPL,2018,Percent,0.44464,317
Canarsie,Below 200% FPL,2018,Percent,0.30534,318
Astoria,Below 200% FPL,2018,Percent,0.417,401
Sunnyside/Woodside,Below 200% FPL,2018,Percent,0.41876,402
Jackson Heights,Below 200% FPL,2018,Percent,0.54633,403
Elmhurst/Corona,Below 200% FPL,2018,Percent,0.62192,404
Ridgewood/Glendale,Below 200% FPL,2018,Percent,0.30765,405
Rego Park/Forest Hills,Below 200% FPL,2018,Percent,0.16711,406
Flushing,Below 200% FPL,2018,Percent,0.46556,407
Fresh Meadows/Briarwood,Below 200% FPL,2018,Percent,0.39793,408
Woodhaven,Below 200% FPL,2018,Percent,0.38608,409
Howard Beach,Below 200% FPL,2018,Percent,0.39084,410
Bayside,Below 200% FPL,2018,Percent,0.24752,411
Jamaica/St. Albans,Below 200% FPL,2018,Percent,0.42325,412
Queens Village,Below 200% FPL,2018,Percent,0.27389,413
The Rockaways,Below 200% FPL,2018,Percent,0.50721,414
St. George,Below 200% FPL,2018,Percent,0.43358,501
South Beach,Below 200% FPL,2018,Percent,0.26898,502
Tottenville,Below 200% FPL,2018,Percent,0.22442,503
Battery Park/Tribeca,Below 200% FPL,2018,Percent,0.04538,101
Greenwich Village,Below 200% FPL,2018,Percent,0.04538,102
Chelsea/Clinton,Below 200% FPL,2018,Percent,0.17085,104
Midtown Business District,Below 200% FPL,2018,Percent,0.17085,105
